timestamp,heartrate,steps,calories,gsr,skintemp,airtemp
"2016-04-23 00:00:00",91,0,1.4,5.86E-5,92.3,89.6
"2016-04-23 00:01:00",92,0,1.5,5.86E-5,92.3,89.6
"2016-04-23 00:02:00",94,0,1.6,6.23E-5,92.3,89.6
"2016-04-23 00:03:00",95,0,1.7,5.86E-5,92.3,89.6
"2016-04-23 00:04:00",98,0,1.7,6.09E-5,92.3,89.6
"2016-04-23 00:05:00",91,0,1.5,6.02E-5,92.3,89.6
"2016-04-23 00:06:00",93,0,1.7,6.06E-5,92.3,89.6
"2016-04-23 00:07:00",93,0,1.5,6.09E-5,92.3,89.6
"2016-04-23 00:08:00",97,0,1.7,5.99E-5,92.3,89.6
"2016-04-23 00:09:00",92,0,1.5,5.7E-5,92.3,89.6
"2016-04-23 00:10:00",89,0,1.4,5.96E-5,92.3,89.6
"2016-04-23 00:11:00",91,0,1.5,5.99E-5,92.3,89.6
"2016-04-23 00:12:00",90,0,1.4,6.09E-5,92.3,90.5
"2016-04-23 00:13:00",95,0,1.6,5.92E-5,92.3,90.5
"2016-04-23 00:14:00",89,0,1.4,6.26E-5,93.2,90.5
"2016-04-23 00:15:00",89,0,1.4,5.79E-5,92.3,89.6
"2016-04-23 00:16:00",90,0,1.4,5.76E-5,92.3,89.6
"2016-04-23 00:17:00",90,0,1.5,5.79E-5,92.3,89.6
"2016-04-23 00:18:00",94,0,1.6,5.73E-5,92.3,89.6
"2016-04-23 00:19:00",89,0,1.4,5.79E-5,92.3,89.6
"2016-04-23 00:20:00",92,0,1.5,5.76E-5,92.3,89.6
"2016-04-23 00:21:00",97,0,1.7,5.73E-5,92.3,89.6
"2016-04-23 00:22:00",92,0,1.5,5.86E-5,92.3,89.6
"2016-04-23 00:23:00",92,0,1.5,6.02E-5,92.3,89.6
"2016-04-23 00:24:00",93,0,1.5,6.84E-5,92.3,89.6
"2016-04-23 00:25:00",94,0,1.5,5.86E-5,92.3,89.6
"2016-04-23 00:26:00",89,0,1.5,5.73E-5,92.3,89.6
"2016-04-23 00:27:00",90,0,1.4,5.76E-5,92.3,89.6
"2016-04-23 00:28:00",93,0,1.5,5.7E-5,92.3,89.6
"2016-04-23 00:29:00",91,0,1.4,5.73E-5,92.3,89.6
"2016-04-23 00:30:00",91,0,1.5,6.09E-5,92.3,89.6
"2016-04-23 00:31:00",90,0,1.4,6.51E-5,92.3,89.6
"2016-04-23 00:32:00",93,0,1.5,6.26E-5,92.3,89.6
"2016-04-23 00:33:00",94,0,1.6,6.92E-5,92.3,89.6
"2016-04-23 00:34:00",97,0,1.6,6.47E-5,93.2,90.5
"2016-04-23 00:35:00",93,0,1.6,5.7E-5,92.3,89.6
"2016-04-23 00:36:00",96,0,1.6,5.67E-5,92.3,89.6
"2016-04-23 00:37:00",96,0,1.6,5.76E-5,92.3,89.6
"2016-04-23 00:38:00",96,0,1.6,6.8E-5,92.3,89.6
"2016-04-23 00:39:00",104,0,2.6,6.8E-5,92.3,89.6
"2016-04-23 00:40:00",101,0,2.8,6.76E-5,92.3,89.6
"2016-04-23 00:41:00",108,22,2.7,6.76E-5,92.3,88.7
"2016-04-23 00:42:00",104,30,2.2,6.47E-5,92.3,87.8
"2016-04-23 00:43:00",107,22,2.9,6.65E-5,92.3,87.8
"2016-04-23 00:44:00",99,0,2,6.47E-5,91.4,86.9
"2016-04-23 00:45:00",100,16,2.2,6.29E-5,91.4,86.9
"2016-04-23 00:46:00",102,9,2.1,6.33E-5,91.4,86.9
"2016-04-23 00:47:00",99,4,2,6.19E-5,90.5,86.9
"2016-04-23 00:48:00",92,0,1.5,5.99E-5,90.5,86
"2016-04-23 00:49:00",93,0,1.6,5.6E-5,90.5,86.9
"2016-04-23 00:50:00",91,0,1.4,5.63E-5,90.5,86.9
"2016-04-23 00:51:00",93,0,1.5,6.23E-5,90.5,86.9
"2016-04-23 00:52:00",92,0,1.5,6.58E-5,91.4,86.9
"2016-04-23 00:53:00",95,0,1.6,6.8E-5,91.4,87.8
"2016-04-23 00:54:00",95,0,1.6,5.67E-5,91.4,87.8
"2016-04-23 00:55:00",92,0,1.4,6.95E-5,91.4,88.7
"2016-04-23 00:56:00",93,0,1.5,5.73E-5,91.4,88.7
"2016-04-23 00:57:00",93,0,1.6,6.19E-5,91.4,88.7
"2016-04-23 00:58:00",100,0,2,5.79E-5,91.4,88.7
"2016-04-23 00:59:00",90,0,1.5,6.99E-5,92.3,88.7
"2016-04-23 01:00:00",87,0,1.3,6.88E-5,92.3,89.6
"2016-04-23 01:01:00",89,0,1.3,7.15E-5,92.3,89.6
"2016-04-23 01:02:00",94,0,1.5,6.88E-5,92.3,89.6
"2016-04-23 01:03:00",89,0,1.4,7.19E-5,92.3,90.5
"2016-04-23 01:04:00",91,0,1.4,7.27E-5,92.3,90.5
"2016-04-23 01:05:00",92,0,1.5,6.69E-5,92.3,91.4
"2016-04-23 01:06:00",93,0,1.5,7.31E-5,92.3,90.5
"2016-04-23 01:07:00",88,0,1.3,7.47E-5,92.3,90.5
"2016-04-23 01:08:00",88,0,1.3,7.15E-5,93.2,91.4
"2016-04-23 01:09:00",91,0,1.4,7.07E-5,93.2,91.4
"2016-04-23 01:10:00",86,0,1.3,7.03E-5,93.2,91.4
"2016-04-23 01:11:00",83,0,1.2,6.76E-5,93.2,91.4
"2016-04-23 01:12:00",77,0,1,7.15E-5,93.2,91.4
"2016-04-23 01:13:00",80,0,1.1,6.95E-5,93.2,91.4
"2016-04-23 01:14:00",79,0,1,7.27E-5,93.2,91.4
"2016-04-23 01:15:00",79,0,1.2,7.31E-5,93.2,92.3
"2016-04-23 01:16:00",74,0,1,7.39E-5,94.1,92.3
"2016-04-23 01:17:00",75,0,1,7.07E-5,94.1,92.3
"2016-04-23 01:18:00",74,0,1.1,7.77E-5,94.1,92.3
"2016-04-23 01:19:00",74,0,1,7.47E-5,94.1,93.2
"2016-04-23 01:20:00",73,0,1,7.15E-5,94.1,93.2
"2016-04-23 01:21:00",72,0,1.1,7.47E-5,94.1,93.2
"2016-04-23 01:22:00",73,0,1,7.39E-5,94.1,93.2
"2016-04-23 01:23:00",72,0,1,7.47E-5,94.1,93.2
"2016-04-23 01:24:00",74,0,1.1,7.47E-5,94.1,93.2
"2016-04-23 01:25:00",73,0,1,7.85E-5,94.1,93.2
"2016-04-23 01:26:00",75,0,1,7.15E-5,94.1,93.2
"2016-04-23 01:27:00",77,0,1,7.56E-5,94.1,93.2
"2016-04-23 01:28:00",76,0,1.1,7.27E-5,94.1,93.2
"2016-04-23 01:29:00",77,0,1,7.23E-5,94.1,93.2
"2016-04-23 01:30:00",79,0,1,7.64E-5,94.1,93.2
"2016-04-23 01:31:00",79,0,1.1,7.64E-5,94.1,93.2
"2016-04-23 01:32:00",79,0,1,7.27E-5,94.1,93.2
"2016-04-23 01:33:00",79,0,1.1,8.03E-5,95,94.1
